dataset,old_run,seed,canonical,method,feat_src,head,c,src,bal,frac,wd,lr,n_epochs,batch_size,bn,unfreeze,restart,metadata_csv,pretrained,code_version,path
CUB,erm_dfr_2_50,111,ft.erm.erm__c-50__src-train__bal-sub__frac-1.0__wd-0.0001__lr-0.0001__ep-301__bn-train,ft.erm.erm,erm,erm,50,train,sub,1.0,0.0001,0.0001,301,64,train,0,0,metadata_dfr.csv,pretrained_models/CUB/erm_50_111.pth,current,results/CUB/erm_dfr_2_50/model_outputs_111
CUB,erm_dfr_2_50,222,ft.erm.erm__c-50__src-train__bal-sub__frac-1.0__wd-0.0001__lr-0.0001__ep-301__bn-train,ft.erm.erm,erm,erm,50,train,sub,1.0,0.0001,0.0001,301,64,train,0,0,metadata_dfr.csv,pretrained_models/CUB/erm_50_222.pth,current,results/CUB/erm_dfr_2_50/model_outputs_222
CUB,erm_dfr_2_50,333,ft.erm.erm__c-50__src-train__bal-sub__frac-1.0__wd-0.0001__lr-0.0001__ep-301__bn-train,ft.erm.erm,erm,erm,50,train,sub,1.0,0.0001,0.0001,301,64,train,0,0,metadata_dfr.csv,pretrained_models/CUB/erm_50_333.pth,current,results/CUB/erm_dfr_2_50/model_outputs_333
CUB,erm_dfr_2_625,111,ft.erm.erm__c-625__src-train__bal-sub__frac-1.0__wd-0.0001__lr-0.0001__ep-301__bn-train,ft.erm.erm,erm,erm,625,train,sub,1.0,0.0001,0.0001,301,64,train,0,0,metadata_dfr.csv,pretrained_models/CUB/erm_625_111.pth,current,results/CUB/erm_dfr_2_625/model_outputs_111
CUB,erm_dfr_2_625,222,ft.erm.erm__c-625__src-train__bal-sub__frac-1.0__wd-0.0001__lr-0.0001__ep-301__bn-train,ft.erm.erm,erm,erm,625,train,sub,1.0,0.0001,0.0001,301,64,train,0,0,metadata_dfr.csv,pretrained_models/CUB/erm_625_222.pth,current,results/CUB/erm_dfr_2_625/model_outputs_222
CUB,erm_dfr_2_625,333,ft.erm.erm__c-625__src-train__bal-sub__frac-1.0__wd-0.0001__lr-0.0001__ep-301__bn-train,ft.erm.erm,erm,erm,625,train,sub,1.0,0.0001,0.0001,301,64,train,0,0,metadata_dfr.csv,pretrained_models/CUB/erm_625_333.pth,current,results/CUB/erm_dfr_2_625/model_outputs_333
CUB,erm_dfr_2_75,111,ft.erm.erm__c-75__src-train__bal-sub__frac-1.0__wd-0.0001__lr-0.0001__ep-301__bn-train,ft.erm.erm,erm,erm,75,train,sub,1.0,0.0001,0.0001,301,64,train,0,0,metadata_dfr.csv,pretrained_models/CUB/erm_75_111.pth,current,results/CUB/erm_dfr_2_75/model_outputs_111
CUB,erm_dfr_2_75,222,ft.erm.erm__c-75__src-train__bal-sub__frac-1.0__wd-0.0001__lr-0.0001__ep-301__bn-train,ft.erm.erm,erm,erm,75,train,sub,1.0,0.0001,0.0001,301,64,train,0,0,metadata_dfr.csv,pretrained_models/CUB/erm_75_222.pth,current,results/CUB/erm_dfr_2_75/model_outputs_222
CUB,erm_dfr_2_75,333,ft.erm.erm__c-75__src-train__bal-sub__frac-1.0__wd-0.0001__lr-0.0001__ep-301__bn-train,ft.erm.erm,erm,erm,75,train,sub,1.0,0.0001,0.0001,301,64,train,0,0,metadata_dfr.csv,pretrained_models/CUB/erm_75_333.pth,current,results/CUB/erm_dfr_2_75/model_outputs_333
CUB,erm_dfr_2_875,111,ft.erm.erm__c-875__src-train__bal-sub__frac-1.0__wd-0.0001__lr-0.0001__ep-301__bn-train,ft.erm.erm,erm,erm,875,train,sub,1.0,0.0001,0.0001,301,64,train,0,0,metadata_dfr.csv,pretrained_models/CUB/erm_875_111.pth,current,results/CUB/erm_dfr_2_875/model_outputs_111
CUB,erm_dfr_2_875,222,ft.erm.erm__c-875__src-train__bal-sub__frac-1.0__wd-0.0001__lr-0.0001__ep-301__bn-train,ft.erm.erm,erm,erm,875,train,sub,1.0,0.0001,0.0001,301,64,train,0,0,metadata_dfr.csv,pretrained_models/CUB/erm_875_222.pth,current,results/CUB/erm_dfr_2_875/model_outputs_222
CUB,erm_dfr_2_875,333,ft.erm.erm__c-875__src-train__bal-sub__frac-1.0__wd-0.0001__lr-0.0001__ep-301__bn-train,ft.erm.erm,erm,erm,875,train,sub,1.0,0.0001,0.0001,301,64,train,0,0,metadata_dfr.csv,pretrained_models/CUB/erm_875_333.pth,current,results/CUB/erm_dfr_2_875/model_outputs_333
CUB,erm_dfr_2_95,111,ft.erm.erm__c-95__src-train__bal-sub__frac-1.0__wd-0.0001__lr-0.0001__ep-301__bn-train,ft.erm.erm,erm,erm,95,train,sub,1.0,0.0001,0.0001,301,64,train,0,0,metadata_dfr.csv,pretrained_models/CUB/erm_95_111.pth,current,results/CUB/erm_dfr_2_95/model_outputs_111
CUB,erm_dfr_2_95,222,ft.erm.erm__c-95__src-train__bal-sub__frac-1.0__wd-0.0001__lr-0.0001__ep-301__bn-train,ft.erm.erm,erm,erm,95,train,sub,1.0,0.0001,0.0001,301,64,train,0,0,metadata_dfr.csv,pretrained_models/CUB/erm_95_222.pth,current,results/CUB/erm_dfr_2_95/model_outputs_222
CUB,erm_dfr_2_95,333,ft.erm.erm__c-95__src-train__bal-sub__frac-1.0__wd-0.0001__lr-0.0001__ep-301__bn-train,ft.erm.erm,erm,erm,95,train,sub,1.0,0.0001,0.0001,301,64,train,0,0,metadata_dfr.csv,pretrained_models/CUB/erm_95_333.pth,current,results/CUB/erm_dfr_2_95/model_outputs_333
CUB,erm_dfr_625,111,ft.erm.erm__c-50__src-train__bal-none__frac-0.357__wd-0.0001__lr-0.0001__ep-301__bn-train,ft.erm.erm,erm,erm,50,train,none,0.357,0.0001,0.0001,301,64,train,0,0,metadata.csv,pretrained_models/CUB/erm_625_111.pth,current,results/CUB/erm_dfr_625/model_outputs_111
CUB,erm_dfr_625,222,ft.erm.erm__c-50__src-train__bal-none__frac-0.357__wd-0.0001__lr-0.0001__ep-301__bn-train,ft.erm.erm,erm,erm,50,train,none,0.357,0.0001,0.0001,301,64,train,0,0,metadata.csv,pretrained_models/CUB/erm_625_222.pth,current,results/CUB/erm_dfr_625/model_outputs_222
CUB,erm_dfr_625,333,ft.erm.erm__c-50__src-train__bal-none__frac-0.357__wd-0.0001__lr-0.0001__ep-301__bn-train,ft.erm.erm,erm,erm,50,train,none,0.357,0.0001,0.0001,301,64,train,0,0,metadata.csv,pretrained_models/CUB/erm_625_333.pth,current,results/CUB/erm_dfr_625/model_outputs_333
CUB,erm_dfr_75,111,ft.erm.erm__c-50__src-train__bal-none__frac-0.225__wd-0.0001__lr-0.0001__ep-301__bn-train,ft.erm.erm,erm,erm,50,train,none,0.225,0.0001,0.0001,301,64,train,0,0,metadata.csv,pretrained_models/CUB/erm_75_111.pth,current,results/CUB/erm_dfr_75/model_outputs_111
CUB,erm_dfr_75,222,ft.erm.erm__c-50__src-train__bal-none__frac-0.225__wd-0.0001__lr-0.0001__ep-301__bn-train,ft.erm.erm,erm,erm,50,train,none,0.225,0.0001,0.0001,301,64,train,0,0,metadata.csv,pretrained_models/CUB/erm_75_222.pth,current,results/CUB/erm_dfr_75/model_outputs_222
CUB,erm_dfr_75,333,ft.erm.erm__c-50__src-train__bal-none__frac-0.225__wd-0.0001__lr-0.0001__ep-301__bn-train,ft.erm.erm,erm,erm,50,train,none,0.225,0.0001,0.0001,301,64,train,0,0,metadata.csv,pretrained_models/CUB/erm_75_333.pth,current,results/CUB/erm_dfr_75/model_outputs_333
CUB,erm_dfr_875,111,ft.erm.erm__c-50__src-train__bal-none__frac-0.118__wd-0.0001__lr-0.0001__ep-301__bn-train,ft.erm.erm,erm,erm,50,train,none,0.118,0.0001,0.0001,301,64,train,0,0,metadata.csv,pretrained_models/CUB/erm_875_111.pth,current,results/CUB/erm_dfr_875/model_outputs_111
CUB,erm_dfr_875,222,ft.erm.erm__c-50__src-train__bal-none__frac-0.118__wd-0.0001__lr-0.0001__ep-301__bn-train,ft.erm.erm,erm,erm,50,train,none,0.118,0.0001,0.0001,301,64,train,0,0,metadata.csv,pretrained_models/CUB/erm_875_222.pth,current,results/CUB/erm_dfr_875/model_outputs_222
CUB,erm_dfr_875,333,ft.erm.erm__c-50__src-train__bal-none__frac-0.118__wd-0.0001__lr-0.0001__ep-301__bn-train,ft.erm.erm,erm,erm,50,train,none,0.118,0.0001,0.0001,301,64,train,0,0,metadata.csv,pretrained_models/CUB/erm_875_333.pth,current,results/CUB/erm_dfr_875/model_outputs_333
CUB,erm_dfr_95,111,ft.erm.erm__c-50__src-train__bal-none__frac-0.047__wd-0.0001__lr-0.0001__ep-301__bn-train,ft.erm.erm,erm,erm,50,train,none,0.047,0.0001,0.0001,301,64,train,0,0,metadata.csv,pretrained_models/CUB/erm_95_111.pth,current,results/CUB/erm_dfr_95/model_outputs_111
CUB,erm_dfr_95,222,ft.erm.erm__c-50__src-train__bal-none__frac-0.047__wd-0.0001__lr-0.0001__ep-301__bn-train,ft.erm.erm,erm,erm,50,train,none,0.047,0.0001,0.0001,301,64,train,0,0,metadata.csv,pretrained_models/CUB/erm_95_222.pth,current,results/CUB/erm_dfr_95/model_outputs_222
CUB,erm_dfr_95,333,ft.erm.erm__c-50__src-train__bal-none__frac-0.047__wd-0.0001__lr-0.0001__ep-301__bn-train,ft.erm.erm,erm,erm,50,train,none,0.047,0.0001,0.0001,301,64,train,0,0,metadata.csv,pretrained_models/CUB/erm_95_333.pth,current,results/CUB/erm_dfr_95/model_outputs_333
CUB,erm_dfr_gdro_2_50,111,ft.erm.gdro__c-50__src-train__bal-sub__frac-1.0__wd-1.0__lr-1e-5__ep-301__bn-train,ft.erm.gdro,erm,gdro,50,train,sub,1.0,1.0,1e-05,301,64,train,0,0,metadata_dfr.csv,pretrained_models/CUB/erm_50_111.pth,current,results/CUB/erm_dfr_gdro_2_50/model_outputs_111
CUB,erm_dfr_gdro_2_50,222,ft.erm.gdro__c-50__src-train__bal-sub__frac-1.0__wd-1.0__lr-1e-5__ep-301__bn-train,ft.erm.gdro,erm,gdro,50,train,sub,1.0,1.0,1e-05,301,64,train,0,0,metadata_dfr.csv,pretrained_models/CUB/erm_50_222.pth,current,results/CUB/erm_dfr_gdro_2_50/model_outputs_222
CUB,erm_dfr_gdro_2_50,333,ft.erm.gdro__c-50__src-train__bal-sub__frac-1.0__wd-1.0__lr-1e-5__ep-301__bn-train,ft.erm.gdro,erm,gdro,50,train,sub,1.0,1.0,1e-05,301,64,train,0,0,metadata_dfr.csv,pretrained_models/CUB/erm_50_333.pth,current,results/CUB/erm_dfr_gdro_2_50/model_outputs_333
CUB,erm_dfr_gdro_2_625,111,ft.erm.gdro__c-625__src-train__bal-sub__frac-1.0__wd-1.0__lr-1e-5__ep-301__bn-train,ft.erm.gdro,erm,gdro,625,train,sub,1.0,1.0,1e-05,301,64,train,0,0,metadata_dfr.csv,pretrained_models/CUB/erm_625_111.pth,current,results/CUB/erm_dfr_gdro_2_625/model_outputs_111
CUB,erm_dfr_gdro_2_625,222,ft.erm.gdro__c-625__src-train__bal-sub__frac-1.0__wd-1.0__lr-1e-5__ep-301__bn-train,ft.erm.gdro,erm,gdro,625,train,sub,1.0,1.0,1e-05,301,64,train,0,0,metadata_dfr.csv,pretrained_models/CUB/erm_625_222.pth,current,results/CUB/erm_dfr_gdro_2_625/model_outputs_222
CUB,erm_dfr_gdro_2_625,333,ft.erm.gdro__c-625__src-train__bal-sub__frac-1.0__wd-1.0__lr-1e-5__ep-301__bn-train,ft.erm.gdro,erm,gdro,625,train,sub,1.0,1.0,1e-05,301,64,train,0,0,metadata_dfr.csv,pretrained_models/CUB/erm_625_333.pth,current,results/CUB/erm_dfr_gdro_2_625/model_outputs_333
CUB,erm_dfr_gdro_2_75,111,ft.erm.gdro__c-75__src-train__bal-sub__frac-1.0__wd-1.0__lr-1e-5__ep-301__bn-train,ft.erm.gdro,erm,gdro,75,train,sub,1.0,1.0,1e-05,301,64,train,0,0,metadata_dfr.csv,pretrained_models/CUB/erm_75_111.pth,current,results/CUB/erm_dfr_gdro_2_75/model_outputs_111
CUB,erm_dfr_gdro_2_75,222,ft.erm.gdro__c-75__src-train__bal-sub__frac-1.0__wd-1.0__lr-1e-5__ep-301__bn-train,ft.erm.gdro,erm,gdro,75,train,sub,1.0,1.0,1e-05,301,64,train,0,0,metadata_dfr.csv,pretrained_models/CUB/erm_75_222.pth,current,results/CUB/erm_dfr_gdro_2_75/model_outputs_222
CUB,erm_dfr_gdro_2_75,333,ft.erm.gdro__c-75__src-train__bal-sub__frac-1.0__wd-1.0__lr-1e-5__ep-301__bn-train,ft.erm.gdro,erm,gdro,75,train,sub,1.0,1.0,1e-05,301,64,train,0,0,metadata_dfr.csv,pretrained_models/CUB/erm_75_333.pth,current,results/CUB/erm_dfr_gdro_2_75/model_outputs_333
CUB,erm_dfr_gdro_2_875,111,ft.erm.gdro__c-875__src-train__bal-sub__frac-1.0__wd-1.0__lr-1e-5__ep-301__bn-train,ft.erm.gdro,erm,gdro,875,train,sub,1.0,1.0,1e-05,301,64,train,0,0,metadata_dfr.csv,pretrained_models/CUB/erm_875_111.pth,current,results/CUB/erm_dfr_gdro_2_875/model_outputs_111
CUB,erm_dfr_gdro_2_875,222,ft.erm.gdro__c-875__src-train__bal-sub__frac-1.0__wd-1.0__lr-1e-5__ep-301__bn-train,ft.erm.gdro,erm,gdro,875,train,sub,1.0,1.0,1e-05,301,64,train,0,0,metadata_dfr.csv,pretrained_models/CUB/erm_875_222.pth,current,results/CUB/erm_dfr_gdro_2_875/model_outputs_222
CUB,erm_dfr_gdro_2_875,333,ft.erm.gdro__c-875__src-train__bal-sub__frac-1.0__wd-1.0__lr-1e-5__ep-301__bn-train,ft.erm.gdro,erm,gdro,875,train,sub,1.0,1.0,1e-05,301,64,train,0,0,metadata_dfr.csv,pretrained_models/CUB/erm_875_333.pth,current,results/CUB/erm_dfr_gdro_2_875/model_outputs_333
CUB,erm_dfr_gdro_2_95,111,ft.erm.gdro__c-95__src-train__bal-sub__frac-1.0__wd-1.0__lr-1e-5__ep-301__bn-train,ft.erm.gdro,erm,gdro,95,train,sub,1.0,1.0,1e-05,301,64,train,0,0,metadata_dfr.csv,pretrained_models/CUB/erm_95_111.pth,current,results/CUB/erm_dfr_gdro_2_95/model_outputs_111
CUB,erm_dfr_gdro_2_95,222,ft.erm.gdro__c-95__src-train__bal-sub__frac-1.0__wd-1.0__lr-1e-5__ep-301__bn-train,ft.erm.gdro,erm,gdro,95,train,sub,1.0,1.0,1e-05,301,64,train,0,0,metadata_dfr.csv,pretrained_models/CUB/erm_95_222.pth,current,results/CUB/erm_dfr_gdro_2_95/model_outputs_222
CUB,erm_dfr_gdro_2_95,333,ft.erm.gdro__c-95__src-train__bal-sub__frac-1.0__wd-1.0__lr-1e-5__ep-301__bn-train,ft.erm.gdro,erm,gdro,95,train,sub,1.0,1.0,1e-05,301,64,train,0,0,metadata_dfr.csv,pretrained_models/CUB/erm_95_333.pth,current,results/CUB/erm_dfr_gdro_2_95/model_outputs_333
CUB,erm_dfr_gdro_625,111,ft.erm.gdro__c-50__src-train__bal-none__frac-0.357__wd-1.0__lr-1e-5__ep-301__bn-train,ft.erm.gdro,erm,gdro,50,train,none,0.357,1.0,1e-05,301,64,train,0,0,metadata.csv,pretrained_models/CUB/erm_625_111.pth,current,results/CUB/erm_dfr_gdro_625/model_outputs_111
CUB,erm_dfr_gdro_625,333,ft.erm.gdro__c-50__src-train__bal-none__frac-0.357__wd-1.0__lr-1e-5__ep-301__bn-train,ft.erm.gdro,erm,gdro,50,train,none,0.357,1.0,1e-05,301,64,train,0,0,metadata.csv,pretrained_models/CUB/erm_625_333.pth,current,results/CUB/erm_dfr_gdro_625/model_outputs_333
CUB,erm_dfr_gdro_75,111,ft.erm.gdro__c-50__src-train__bal-none__frac-0.225__wd-1.0__lr-1e-5__ep-301__bn-train,ft.erm.gdro,erm,gdro,50,train,none,0.225,1.0,1e-05,301,64,train,0,0,metadata.csv,pretrained_models/CUB/erm_75_111.pth,current,results/CUB/erm_dfr_gdro_75/model_outputs_111
CUB,erm_dfr_gdro_75,222,ft.erm.gdro__c-50__src-train__bal-none__frac-0.225__wd-1.0__lr-1e-5__ep-301__bn-train,ft.erm.gdro,erm,gdro,50,train,none,0.225,1.0,1e-05,301,64,train,0,0,metadata.csv,pretrained_models/CUB/erm_75_222.pth,current,results/CUB/erm_dfr_gdro_75/model_outputs_222
CUB,erm_dfr_gdro_75,333,ft.erm.gdro__c-50__src-train__bal-none__frac-0.225__wd-1.0__lr-1e-5__ep-301__bn-train,ft.erm.gdro,erm,gdro,50,train,none,0.225,1.0,1e-05,301,64,train,0,0,metadata.csv,pretrained_models/CUB/erm_75_333.pth,current,results/CUB/erm_dfr_gdro_75/model_outputs_333
CUB,erm_dfr_gdro_875,111,ft.erm.gdro__c-50__src-train__bal-none__frac-0.118__wd-1.0__lr-1e-5__ep-301__bn-train,ft.erm.gdro,erm,gdro,50,train,none,0.118,1.0,1e-05,301,64,train,0,0,metadata.csv,pretrained_models/CUB/erm_875_111.pth,current,results/CUB/erm_dfr_gdro_875/model_outputs_111
CUB,erm_dfr_gdro_875,222,ft.erm.gdro__c-50__src-train__bal-none__frac-0.118__wd-1.0__lr-1e-5__ep-301__bn-train,ft.erm.gdro,erm,gdro,50,train,none,0.118,1.0,1e-05,301,64,train,0,0,metadata.csv,pretrained_models/CUB/erm_875_222.pth,current,results/CUB/erm_dfr_gdro_875/model_outputs_222
CUB,erm_dfr_gdro_875,333,ft.erm.gdro__c-50__src-train__bal-none__frac-0.118__wd-1.0__lr-1e-5__ep-301__bn-train,ft.erm.gdro,erm,gdro,50,train,none,0.118,1.0,1e-05,301,64,train,0,0,metadata.csv,pretrained_models/CUB/erm_875_333.pth,current,results/CUB/erm_dfr_gdro_875/model_outputs_333
CUB,erm_dfr_gdro_95,111,ft.erm.gdro__c-50__src-train__bal-none__frac-0.047__wd-1.0__lr-1e-5__ep-301__bn-train,ft.erm.gdro,erm,gdro,50,train,none,0.047,1.0,1e-05,301,64,train,0,0,metadata.csv,pretrained_models/CUB/erm_95_111.pth,current,results/CUB/erm_dfr_gdro_95/model_outputs_111
CUB,erm_dfr_gdro_95,222,ft.erm.gdro__c-50__src-train__bal-none__frac-0.047__wd-1.0__lr-1e-5__ep-301__bn-train,ft.erm.gdro,erm,gdro,50,train,none,0.047,1.0,1e-05,301,64,train,0,0,metadata.csv,pretrained_models/CUB/erm_95_222.pth,current,results/CUB/erm_dfr_gdro_95/model_outputs_222
CUB,erm_dfr_gdro_95,333,ft.erm.gdro__c-50__src-train__bal-none__frac-0.047__wd-1.0__lr-1e-5__ep-301__bn-train,ft.erm.gdro,erm,gdro,50,train,none,0.047,1.0,1e-05,301,64,train,0,0,metadata.csv,pretrained_models/CUB/erm_95_333.pth,current,results/CUB/erm_dfr_gdro_95/model_outputs_333
CUB,erm_dfr_gdro_new_0.1_95,111,ft.erm.gdro__c-50__src-train__bal-sub.rw__frac-0.0101__wd-0.0001__lr-0.0001__ep-301__bn-train,ft.erm.gdro,erm,gdro,50,train,sub.rw,0.0101,0.0001,0.0001,301,64,train,0,0,metadata_dfr.csv,pretrained_models/CUB/erm_95_111.pth,current,results/CUB/erm_dfr_gdro_new_0.1_95/model_outputs_111
CUB,erm_dfr_gdro_new_0.1_95,222,ft.erm.gdro__c-50__src-train__bal-sub.rw__frac-0.0101__wd-0.0001__lr-0.0001__ep-301__bn-train,ft.erm.gdro,erm,gdro,50,train,sub.rw,0.0101,0.0001,0.0001,301,64,train,0,0,metadata_dfr.csv,pretrained_models/CUB/erm_95_222.pth,current,results/CUB/erm_dfr_gdro_new_0.1_95/model_outputs_222
CUB,erm_dfr_gdro_new_0.1_95,333,ft.erm.gdro__c-50__src-train__bal-sub.rw__frac-0.0101__wd-0.0001__lr-0.0001__ep-301__bn-train,ft.erm.gdro,erm,gdro,50,train,sub.rw,0.0101,0.0001,0.0001,301,64,train,0,0,metadata_dfr.csv,pretrained_models/CUB/erm_95_333.pth,current,results/CUB/erm_dfr_gdro_new_0.1_95/model_outputs_333
CUB,erm_dfr_gdro_new_0.25_95,111,ft.erm.gdro__c-50__src-train__bal-sub.rw__frac-0.0252__wd-0.0001__lr-0.0001__ep-301__bn-train,ft.erm.gdro,erm,gdro,50,train,sub.rw,0.0252,0.0001,0.0001,301,64,train,0,0,metadata_dfr.csv,pretrained_models/CUB/erm_95_111.pth,current,results/CUB/erm_dfr_gdro_new_0.25_95/model_outputs_111
CUB,erm_dfr_gdro_new_0.25_95,222,ft.erm.gdro__c-50__src-train__bal-sub.rw__frac-0.0252__wd-0.0001__lr-0.0001__ep-301__bn-train,ft.erm.gdro,erm,gdro,50,train,sub.rw,0.0252,0.0001,0.0001,301,64,train,0,0,metadata_dfr.csv,pretrained_models/CUB/erm_95_222.pth,current,results/CUB/erm_dfr_gdro_new_0.25_95/model_outputs_222
CUB,erm_dfr_gdro_new_0.25_95,333,ft.erm.gdro__c-50__src-train__bal-sub.rw__frac-0.0252__wd-0.0001__lr-0.0001__ep-301__bn-train,ft.erm.gdro,erm,gdro,50,train,sub.rw,0.0252,0.0001,0.0001,301,64,train,0,0,metadata_dfr.csv,pretrained_models/CUB/erm_95_333.pth,current,results/CUB/erm_dfr_gdro_new_0.25_95/model_outputs_333
CUB,erm_dfr_gdro_new_0.5_95,111,ft.erm.gdro__c-50__src-train__bal-sub.rw__frac-0.0504__wd-0.0001__lr-0.0001__ep-301__bn-train,ft.erm.gdro,erm,gdro,50,train,sub.rw,0.0504,0.0001,0.0001,301,64,train,0,0,metadata_dfr.csv,pretrained_models/CUB/erm_95_111.pth,current,results/CUB/erm_dfr_gdro_new_0.5_95/model_outputs_111
CUB,erm_dfr_gdro_new_0.5_95,222,ft.erm.gdro__c-50__src-train__bal-sub.rw__frac-0.0504__wd-0.0001__lr-0.0001__ep-301__bn-train,ft.erm.gdro,erm,gdro,50,train,sub.rw,0.0504,0.0001,0.0001,301,64,train,0,0,metadata_dfr.csv,pretrained_models/CUB/erm_95_222.pth,current,results/CUB/erm_dfr_gdro_new_0.5_95/model_outputs_222
CUB,erm_dfr_gdro_new_0.5_95,333,ft.erm.gdro__c-50__src-train__bal-sub.rw__frac-0.0504__wd-0.0001__lr-0.0001__ep-301__bn-train,ft.erm.gdro,erm,gdro,50,train,sub.rw,0.0504,0.0001,0.0001,301,64,train,0,0,metadata_dfr.csv,pretrained_models/CUB/erm_95_333.pth,current,results/CUB/erm_dfr_gdro_new_0.5_95/model_outputs_333
CUB,erm_dfr_gdro_new_0.75_95,111,ft.erm.gdro__c-50__src-train__bal-sub.rw__frac-0.0756__wd-0.0001__lr-0.0001__ep-301__bn-train,ft.erm.gdro,erm,gdro,50,train,sub.rw,0.0756,0.0001,0.0001,301,64,train,0,0,metadata_dfr.csv,pretrained_models/CUB/erm_95_111.pth,current,results/CUB/erm_dfr_gdro_new_0.75_95/model_outputs_111
CUB,erm_dfr_gdro_new_0.75_95,222,ft.erm.gdro__c-50__src-train__bal-sub.rw__frac-0.0756__wd-0.0001__lr-0.0001__ep-301__bn-train,ft.erm.gdro,erm,gdro,50,train,sub.rw,0.0756,0.0001,0.0001,301,64,train,0,0,metadata_dfr.csv,pretrained_models/CUB/erm_95_222.pth,current,results/CUB/erm_dfr_gdro_new_0.75_95/model_outputs_222
CUB,erm_dfr_gdro_new_0.75_95,333,ft.erm.gdro__c-50__src-train__bal-sub.rw__frac-0.0756__wd-0.0001__lr-0.0001__ep-301__bn-train,ft.erm.gdro,erm,gdro,50,train,sub.rw,0.0756,0.0001,0.0001,301,64,train,0,0,metadata_dfr.csv,pretrained_models/CUB/erm_95_333.pth,current,results/CUB/erm_dfr_gdro_new_0.75_95/model_outputs_333
